InstitutionName	City	State	HighestDegree	Type	Region	ReligAffil	Urbanization	Urban	Tuition	SatAvg	MeanEarnings10Years	NumUndergrads	PctMale	PctFemale	MedHHInc	PctLowIncome	PctFedLoan	AttendanceCost	AvgFacSal	CompletionRate	NumGradStudents	ExpenditurePerStudent	AdmitRate	MedianDebt	TuitionCat	SatAvgCat	MeanEarnings10YearsCat	NumUndergradsCat	PctMaleCat	PctFemaleCat	MedHHIncCat	PctLowIncomeCat	PctFedLoanCat	AttendanceCostCat	AvgFacSalCat	CompletionRateCat	NumGradStudentsCat	ExpenditurePerStudentCat	AdmitRateCat	MedianDebtCat
University of Pittsburgh-Pittsburgh Campus	Pittsburgh	PA	Graduate	Public	Northeast	No	LargeCity	City	18384	1367	61200	19127	47.77	52.23	58452.18	20.32943677	55.63	33155	10856	0.8252	9343	18475	0.5927	26000	3.High	3.High	3.High	3.High	3.High	1.Low	1.Low	1.Low	2.Medium	2.Medium	3.High	3.High	3.High	3.High	1.Low	3.High
University of Portland	Portland	OR	Graduate	Private.NonProfit	West	Yes	LargeCity	City	22941	1232	62500	3757	39.77	60.23	67900.72	14.40972222	49.05	58463	8662	0.8218	493	12174	0.7533	25000	3.High	3.High	3.High	2.Medium	1.Low	3.High	2.Medium	1.Low	1.Low	3.High	2.Medium	3.High	2.Medium	3.High	2.Medium	2.Medium
University of Redlands	Redlands	CA	Graduate	Private.NonProfit	West	No	SmallCity	City	18560	1189	57700	2945	41.9	58.1	68599.2	28.04674457	57.81	65220	10242	0.7393	1584	11246	0.7475	27000	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High	3.High	3.High	3.High	2.Medium	2.Medium	3.High
University of Rhode Island	Kingston	RI	Graduate	Public	Northeast	No	Suburb.LgCity	Suburb	13880	1160	58400	13743	43.66	56.34	72503.8	23.13173445	82.96	29018	9488	0.673	2999	8906	0.6948	23000	2.Medium	2.Medium	3.High	3.High	2.Medium	2.Medium	3.High	1.Low	3.High	2.Medium	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium
University of Richmond	University of Richmond	VA	Graduate	Private.NonProfit	Southeast	No	MidCity	City	26089	1401	78900	3215	47.4	52.6	83716.34	22.42424242	34.67	64785	12673	0.8718	707	20694	0.3017	19991	3.High	3.High	3.High	2.Medium	3.High	1.Low	3.High	1.Low	1.Low	3.High	3.High	3.High	2.Medium	3.High	1.Low	1.Low
University of Rochester	Rochester	NY	Graduate	Private.NonProfit	Northeast	No	MidCity	City	22774	1422	74300	6348	50.69	49.31	76108.65	28.52992446	38.52	70108	12762	0.8613	5282	31380	0.2942	20000	3.High	3.High	3.High	3.High	3.High	1.Low	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	3.High	1.Low	1.Low
University of Saint Francis-Fort Wayne	Fort Wayne	IN	Graduate	Private.NonProfit	Midwest	Yes	LargeCity	City	16278	1062	43600	1774	28.3	71.7	63802.5	30.6122449	71.4	37939	6630	0.5495	421	9097	0.9342	25750	3.High	1.Low	1.Low	2.Medium	1.Low	3.High	2.Medium	2.Medium	3.High	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	3.High	3.High
University of Saint Joseph	West Hartford	CT	Graduate	Private.NonProfit	Northeast	Yes	SmallCity	City	21573	1120	52900	865	12.6	87.4	74607	36.21013133	81.82	48533	8620	0.6306	1562	12895	0.7235	27000	3.High	2.Medium	2.Medium	1.Low	1.Low	3.High	3.High	2.Medium	3.High	3.High	2.Medium	2.Medium	3.High	3.High	2.Medium	3.High
University of Saint Mary	Leavenworth	KS	Graduate	Private.NonProfit	Midwest	Yes	Town.Fringe	Town	14174	1083	42500	732	51.5	48.5	62613.14	28.31683168	84.03	39819	6256	0.5517	522	8676	0.6135	22500	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	2.Medium	2.Medium	3.High	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium
University of San Diego	San Diego	CA	Graduate	Private.NonProfit	West	Yes	LargeCity	City	29223	1285	71100	5760	45.26	54.74	79883.39	27.35988201	41.89	64732	12284	0.8041	3218	15581	0.5292	23782	3.High	3.High	3.High	3.High	2.Medium	2.Medium	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	3.High	1.Low	2.Medium
University of San Francisco	San Francisco	CA	Graduate	Private.NonProfit	West	Yes	LargeCity	City	28022	1237	74000	6661	36.8	63.2	82472.56	29.59850607	59.57	65185	12379	0.7498	4009	17149	0.6455	23250	3.High	3.High	3.High	3.High	1.Low	3.High	3.High	2.Medium	2.Medium	3.High	3.High	3.High	3.High	3.High	2.Medium	2.Medium
University of Science and Arts of Oklahoma	Chickasha	OK	Bachelors	Public	Southwest	No	Town.Distant	Town	2848	1090	36400	817	32.31	67.69	46710.02	42.28187919	73.53	18014	5687	0.4606	0	7467	0.5304	18414	1.Low	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	3.High	3.High	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low
University of Scranton	Scranton	PA	Graduate	Private.NonProfit	Northeast	Yes	SmallCity	City	21654	1209	62300	3624	42.6	57.4	73943.5	15.34883721	69.29	59656	10292	0.8231	1557	12675	0.7319	27000	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium	3.High	1.Low	2.Medium	3.High	3.High	3.High	3.High	3.High	2.Medium	3.High
University of Sioux Falls	Sioux Falls	SD	Graduate	Private.NonProfit	Midwest	Yes	MidCity	City	11334	1135	44800	1268	37.38	62.62	57493.05	25.9012016	78.26	39234	6305	0.4624	296	6092	0.9125	23250	2.Medium	2.Medium	2.Medium	1.Low	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	1.Low	1.Low	2.Medium	1.Low	3.High	2.Medium
University of South Alabama	Mobile	AL	Graduate	Public	Southeast	No	MidCity	City	9364	1186	46800	10035	40.98	59.02	51919.71	42.52947481	60.12	19835	7239	0.4417	4541	9758	0.7931	25000	1.Low	3.High	2.Medium	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	3.High	2.Medium	3.High	2.Medium
University of South Carolina Aiken	Aiken	SC	Graduate	Public	Southeast	No	Suburb.LgCity	Suburb	6189	1041	40800	3019	34.75	65.25	53123.12	38.81578947	59.54	22106	6920	0.3996	355	7223	0.5095	26000	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	2.Medium	1.Low	1.Low	1.Low	2.Medium	1.Low	1.Low	3.High
University of South Carolina Beaufort	Bluffton	SC	Bachelors	Public	Southeast	No	Town.Fringe	Town	6555	1026	40400	2040	31.32	68.68	60345.78	39.57680251	70.75	23493	7351	0.3239	0	7752	0.6328	25000	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	2.Medium	3.High	2.Medium	1.Low	2.Medium	1.Low	1.Low	1.Low	2.Medium	2.Medium
University of South Carolina-Columbia	Columbia	SC	Graduate	Public	Southeast	No	MidCity	City	13541	1287	53900	26300	46.69	53.31	62188.24	23.38620435	47.88	26841	10744	0.7702	8062	12009	0.6306	22724	2.Medium	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium	1.Low	1.Low	2.Medium	3.High	3.High	3.High	3.High	2.Medium	2.Medium
University of South Carolina-Upstate	Spartanburg	SC	Graduate	Public	Southeast	No	Suburb.MedCity	Suburb	6512	1025	41300	5403	34.13	65.87	54689.19	39.92285439	72.75	23484	6892	0.4597	139	6980	0.5719	22000	1.Low	1.Low	1.Low	3.High	1.Low	3.High	1.Low	3.High	3.High	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	2.Medium
University of South Dakota	Vermillion	SD	Graduate	Public	Midwest	No	Town.Distant	Town	8338	1135	49500	6228	37.4	62.6	53799.09	23.77717391	69.38	21622	7895	0.5793	2476	9911	0.858	25000	1.Low	2.Medium	2.Medium	3.High	1.Low	3.High	1.Low	1.Low	2.Medium	1.Low	2.Medium	2.Medium	3.High	2.Medium	3.High	2.Medium
University of South Florida-Main Campus	Tampa	FL	Graduate	Public	Southeast	No	LargeCity	City	6658	1265	48500	31321	45.42	54.58	58397.57	45.72891772	34.99	20456	10168	0.7344	11606	10102	0.4263	18750	1.Low	3.High	2.Medium	3.High	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low	3.High	3.High	3.High	2.Medium	1.Low	1.Low
University of Southern California	Los Angeles	CA	Graduate	Private.NonProfit	West	No	LargeCity	City	37039	1445	88800	19548	48.85	51.15	76787.41	36.17469087	27.58	72097	14712	0.9239	27403	54509	0.1296	19500	3.High	3.High	3.High	3.High	3.High	1.Low	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	3.High	1.Low	1.Low
University of Southern Indiana	Evansville	IN	Graduate	Public	Midwest	No	Suburb.MedCity	Suburb	5639	1094	40200	7369	37.64	62.36	57279.45	28.33235467	57.13	18952	7303	0.4665	1458	7274	0.9458	21669	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	1.Low	2.Medium	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	1.Low
University of Southern Maine	Portland	ME	Graduate	Public	Northeast	No	SmallCity	City	8097	1050	44400	5281	41.62	58.38	58065.5	42.90882779	60.14	19385	8795	0.3946	1750	8466	0.8543	21322	1.Low	1.Low	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	3.High	1.Low	3.High	2.Medium	3.High	1.Low
