InstitutionName	City	State	HighestDegree	Type	Region	ReligAffil	Urbanization	Urban	Tuition	SatAvg	MeanEarnings10Years	NumUndergrads	PctMale	PctFemale	MedHHInc	PctLowIncome	PctFedLoan	AttendanceCost	AvgFacSal	CompletionRate	NumGradStudents	ExpenditurePerStudent	AdmitRate	MedianDebt	TuitionCat	SatAvgCat	MeanEarnings10YearsCat	NumUndergradsCat	PctMaleCat	PctFemaleCat	MedHHIncCat	PctLowIncomeCat	PctFedLoanCat	AttendanceCostCat	AvgFacSalCat	CompletionRateCat	NumGradStudentsCat	ExpenditurePerStudentCat	AdmitRateCat	MedianDebtCat
Abilene Christian University	Abilene	TX	Graduate	Private.NonProfit	Southwest	Yes	MidCity	City	16177	1162	48900	3524	39.73	60.27	67136.19	20.55070517	55.21	48046	7756	0.6695	1666	9082	0.5696	24408	3.High	2.Medium	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	3.High	2.Medium	3.High	3.High	2.Medium	1.Low	2.Medium
Abraham Baldwin Agricultural College	Tifton	GA	Bachelors	Public	Southeast	No	Town.Distant	Town	3189	1032	36300	3744	43.72	56.28	46480.92	41.28113879	41.89	12843	5478	0.2199	0	5605	0.6894	15550	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	2.Medium	1.Low
Adams State University	Alamosa	CO	Graduate	Public	West	No	Town.Remote	Town	6150	994	38100	1881	56.14	43.86	50726.71	46.37554585	52.52	22096	6206	0.2669	1113	11928	0.9865	21500	1.Low	1.Low	1.Low	2.Medium	3.High	1.Low	1.Low	3.High	1.Low	1.Low	1.Low	1.Low	2.Medium	3.High	3.High	1.Low
Adelphi University	Garden City	NY	Graduate	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	24971	1182	63000	5307	31.28	68.72	80864.95	31.58123371	56.82	49008	12371	0.7018	2755	13492	0.7418	25000	3.High	3.High	3.High	3.High	1.Low	3.High	3.High	2.Medium	2.Medium	3.High	3.High	3.High	3.High	3.High	2.Medium	2.Medium
Adrian College	Adrian	MI	Graduate	Private.NonProfit	Midwest	Yes	Town.Distant	Town	14136	1072	42800	1781	52.55	47.45	66915.1	23.81909548	79.77	51626	8097	0.4519	39	8991	0.6481	27000	2.Medium	1.Low	1.Low	2.Medium	3.High	1.Low	2.Medium	1.Low	3.High	3.High	2.Medium	1.Low	1.Low	2.Medium	2.Medium	3.High
AdventHealth University	Orlando	FL	Graduate	Private.NonProfit	Southeast	Yes	LargeCity	City	15360	1016	58200	1166	18.87	81.13	60028.37	47.53173484	61.86	24338	7751	0.3012	364	10317	0.8689	22691	2.Medium	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	3.High	2.Medium	1.Low	2.Medium	1.Low	2.Medium	2.Medium	3.High	2.Medium
Alabama A & M University	Normal	AL	Graduate	Public	Southeast	No	MidCity	City	7413	957	35500	4990	40.76	59.24	49720.22	60.20087884	71.43	22489	7101	0.2685	963	5384	0.8986	34500	1.Low	1.Low	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	3.High	1.Low	2.Medium	1.Low	2.Medium	1.Low	3.High	3.High
Alabama State University	Montgomery	AL	Graduate	Public	Southeast	No	MidCity	City	10160	972	30600	3903	37.1	62.9	46065.2	61.46166134	75.39	21476	7754	0.3001	510	8527	0.9774	32637	2.Medium	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	3.High	1.Low	2.Medium	1.Low	2.Medium	2.Medium	3.High	3.High
Albany College of Pharmacy and Health Sciences	Albany	NY	Graduate	Private.NonProfit	Northeast	No	SmallCity	City	24852	1228	114200	857	39.91	60.09	60872.01	22.90249433	78.38	47221	9342	0.664	472	13821	0.7189	27000	3.High	3.High	3.High	1.Low	1.Low	3.High	2.Medium	1.Low	3.High	3.High	3.High	3.High	2.Medium	3.High	2.Medium	3.High
Albany State University	Albany	GA	Graduate	Public	Southeast	No	SmallCity	City	3461	865	34600	5545	27.38	72.62	52181.09	58.50091408	84.56	18775	5840	0.1924	370	6319	0.905	27000	1.Low	1.Low	1.Low	3.High	1.Low	3.High	1.Low	3.High	3.High	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	3.High
Albertus Magnus College	New Haven	CT	Graduate	Private.NonProfit	Northeast	Yes	MidCity	City	12493	931	56000	1113	33.06	66.94	65065.75	44.00494438	87.61	47496	7300	0.7177	340	6082	0.5807	27238	2.Medium	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	3.High	3.High	3.High	2.Medium	3.High	2.Medium	1.Low	1.Low	3.High
Albion College	Albion	MI	Bachelors	Private.NonProfit	Midwest	Yes	Town.Fringe	Town	12849	1132	55700	1512	45.9	54.1	71425.7	26.1299435	72.82	56722	7552	0.6444	0	12341	0.6824	27000	2.Medium	2.Medium	3.High	1.Low	2.Medium	2.Medium	3.High	1.Low	3.High	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	3.High
Alcorn State University	Alcorn State	MS	Graduate	Public	Southeast	No	Rural.Remote	Rural	2668	1026	35000	3106	35.9	64.1	38329.94	66.37791012	86.07	23966	6796	0.405	485	6108	0.8931	31000	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	3.High	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High	3.High
Alderson Broaddus University	Philippi	WV	Graduate	Private.NonProfit	Southeast	Yes	Town.Distant	Town	12234	1029	47000	823	54.19	45.81	44559.33	30.27950311	83.82	38879	5029	0.3503	75	5840	0.4253	26602	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low	1.Low	2.Medium	3.High	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	3.High
Alfred University	Alfred	NY	Graduate	Private.NonProfit	Northeast	No	Town.Remote	Town	8778	1102	47300	1591	51.1	48.9	63665.1	30.248307	83.73	43294	6490	0.597	631	11299	0.6269	26000	1.Low	2.Medium	2.Medium	2.Medium	3.High	1.Low	2.Medium	2.Medium	3.High	2.Medium	1.Low	2.Medium	2.Medium	3.High	2.Medium	3.High
Alice Lloyd College	Pippa Passes	KY	Bachelors	Private.NonProfit	Southeast	No	Rural.Remote	Rural	8647	1054	41600	644	46.43	53.57	31403.34	42.16524217	59.63	24564	4992	0.7005	0	5515	0.2778	16062	1.Low	1.Low	1.Low	1.Low	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	1.Low	3.High	1.Low	1.Low	1.Low	1.Low
Allegheny College	Meadville	PA	Bachelors	Private.NonProfit	Northeast	Yes	Town.Distant	Town	17759	1249	56800	1735	44.78	55.22	64269	23.8566131	73.6	60783	7894	0.738	0	17621	0.6361	27000	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	3.High	1.Low	3.High	2.Medium	3.High
Alma College	Alma	MI	Bachelors	Private.NonProfit	Midwest	Yes	Town.Distant	Town	13489	1135	46500	1396	41.55	58.45	61676.21	24.42196532	76.72	52252	7500	0.6368	0	10668	0.6411	27000	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	3.High
Alvernia University	Reading	PA	Graduate	Private.NonProfit	Northeast	Yes	SmallCity	City	17256	1042	47300	2176	29.64	70.36	60334.44	31.91140279	97.3	46581	7440	0.5718	596	6778	0.6838	27000	3.High	1.Low	2.Medium	2.Medium	1.Low	3.High	2.Medium	2.Medium	3.High	3.High	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	3.High
American International College	Springfield	MA	Graduate	Private.NonProfit	Northeast	No	MidCity	City	16040	1010	50000	1307	36.8	63.2	62232.99	38.3625731	84.2	47742	7017	0.4669	1816	7115	0.6839	27500	3.High	1.Low	2.Medium	1.Low	1.Low	3.High	2.Medium	3.High	3.High	3.High	2.Medium	1.Low	3.High	1.Low	2.Medium	3.High
American University	Washington	DC	Graduate	Private.NonProfit	Northeast	Yes	LargeCity	City	31310	1320	67700	7485	37.38	62.62	81657.17	17.70705834	55.62	64040	12045	0.7982	6024	15365	0.3154	23288	3.High	3.High	3.High	3.High	1.Low	3.High	3.High	1.Low	2.Medium	3.High	3.High	3.High	3.High	3.High	1.Low	2.Medium
Amherst College	Amherst	MA	Bachelors	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	27541	1449	83300	1855	49.54	50.46	82187.65	32.01133144	16.56	71300	12975	0.933	0	30709	0.1281	12896	3.High	3.High	3.High	2.Medium	3.High	1.Low	3.High	2.Medium	1.Low	3.High	3.High	3.High	1.Low	3.High	1.Low	1.Low
Anderson University (IN)	Anderson	IN	Graduate	Private.NonProfit	Midwest	Yes	SmallCity	City	14605	1094	41300	1392	39.87	60.13	64040.72	26.05863192	72.25	42555	6318	0.6039	277	9704	0.6502	27000	2.Medium	2.Medium	1.Low	1.Low	1.Low	3.High	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	3.High
Anderson University (SC)	Anderson	SC	Graduate	Private.NonProfit	Southeast	Yes	SmallCity	City	14915	1133	38400	2685	31.17	68.83	56100.72	22.94117647	61.56	41431	6568	0.5887	548	6448	0.6229	26471	2.Medium	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low	1.Low	2.Medium	2.Medium	1.Low	2.Medium	2.Medium	1.Low	2.Medium	3.High
Andrew College	Cuthbert	GA	Associate	Private.NonProfit	Southeast	Yes	Town.Distant	Town	7318	925	31900	292	40.41	59.59	58509.1	47.07792208	82.69	35621	5229	0.1494	0	8150	0.4309	12000	1.Low	1.Low	1.Low	1.Low	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	1.Low	1.Low	1.Low	2.Medium	1.Low	1.Low
Andrews University	Berrien Springs	MI	Graduate	Private.NonProfit	Midwest	Yes	Town.Fringe	Town	15761	1182	47800	1466	43.93	56.07	63096.48	29.59381044	45.62	38948	4951	0.5794	1705	13333	0.6554	26500	3.High	3.High	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	1.Low	2.Medium	3.High	3.High	2.Medium	3.High
Angelo State University	San Angelo	TX	Graduate	Public	Southwest	No	MidCity	City	6236	1033	46300	5892	44.96	55.04	49632.36	36.52350355	51.57	18395	7296	0.3428	1715	6429	0.7324	20500	1.Low	1.Low	2.Medium	3.High	2.Medium	2.Medium	1.Low	2.Medium	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	2.Medium	1.Low
Appalachian Bible College	Mount Hope	WV	Graduate	Private.NonProfit	Southeast	Yes	Rural.Fringe	Rural	4717	1044	33200	204	62.75	37.25	52011.41	36.04651163	34.15	24939	2884	0.4857	2	4731	0.4524	11750	1.Low	1.Low	1.Low	1.Low	3.High	1.Low	1.Low	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low	1.Low
Appalachian State University	Boone	NC	Graduate	Public	Southeast	No	Town.Distant	Town	6780	1210	43600	17265	43.84	56.16	61267.04	27.33113674	49.97	18972	8281	0.7204	1727	7600	0.6946	20192	1.Low	3.High	1.Low	3.High	2.Medium	2.Medium	2.Medium	2.Medium	1.Low	1.Low	2.Medium	3.High	3.High	1.Low	2.Medium	1.Low
Aquinas College	Grand Rapids	MI	Graduate	Private.NonProfit	Midwest	Yes	MidCity	City	13038	1133	42400	1428	39.64	60.36	64829.33	25.78512397	60.26	41612	6336	0.6071	180	7471	0.6905	26416	2.Medium	2.Medium	1.Low	1.Low	1.Low	3.High	2.Medium	1.Low	2.Medium	2.Medium	1.Low	2.Medium	1.Low	1.Low	2.Medium	3.High
Arcadia University	Glenside	PA	Graduate	Private.NonProfit	Northeast	Yes	Suburb.LgCity	Suburb	17159	1157	48000	2003	32.25	67.75	72830.78	24.69927827	83.19	57155	7910	0.705	1502	8603	0.6416	27000	3.High	2.Medium	2.Medium	2.Medium	1.Low	3.High	3.High	1.Low	3.High	3.High	2.Medium	3.High	3.High	2.Medium	2.Medium	3.High
Arizona Christian University	Glendale	AZ	Bachelors	Private.NonProfit	Southwest	Yes	LargeCity	City	11155	1032	34900	705	56.74	43.26	65520.64	43.11740891	71.05	37562	4607	0.4512	0	3737	0.5644	22500	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	2.Medium	3.High	2.Medium	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	2.Medium
Arizona State University-Polytechnic	Mesa	AZ	Graduate	Public	Southwest	No	LargeCity	City	8643	1198	55500	4495	67.25	32.75	69074.33	42.41983308	33.85	23002	8725	0.5723	580	6358	0.8337	20349	1.Low	3.High	3.High	2.Medium	3.High	1.Low	3.High	3.High	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	1.Low
Arizona State University-Tempe	Tempe	AZ	Graduate	Public	Southwest	No	MidCity	City	20364	1240	55500	42529	55.9	44.1	69074.33	42.41983308	33.5	25621	11451	0.6904	8741	14979	0.8478	20349	3.High	3.High	3.High	3.High	3.High	1.Low	3.High	3.High	1.Low	2.Medium	3.High	3.High	3.High	3.High	3.High	1.Low
Arizona State University-West	Glendale	AZ	Graduate	Public	Southwest	No	LargeCity	City	10395	1132	55500	3981	39.39	60.61	69074.33	42.41983308	29.81	22594	10096	0.7041	398	7646	0.8241	20349	2.Medium	2.Medium	3.High	2.Medium	1.Low	3.High	3.High	3.High	1.Low	1.Low	3.High	3.High	2.Medium	1.Low	3.High	1.Low
Arkansas State University-Main Campus	Jonesboro	AR	Graduate	Public	Southeast	No	SmallCity	City	4037	1189	36600	8623	40.03	59.97	42159.88	44.50660103	56.16	21375	6902	0.4822	4359	5681	0.7721	21000	1.Low	3.High	1.Low	3.High	1.Low	3.High	1.Low	3.High	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	3.High	1.Low
Art Academy of Cincinnati	Cincinnati	OH	Graduate	Private.NonProfit	Midwest	No	LargeCity	City	21636	1059	30100	191	28.8	71.2	69050.69	29.78723404	86.67	40498	3418	0.6316	9	7895	0.3274	27000	3.High	1.Low	1.Low	1.Low	1.Low	3.High	3.High	2.Medium	3.High	2.Medium	1.Low	2.Medium	1.Low	2.Medium	1.Low	3.High
Ashland University	Ashland	OH	Graduate	Private.NonProfit	Midwest	Yes	Town.Fringe	Town	13148	1132	42900	3955	50.9	49.1	64491.65	60.53236937	82.54	32757	7052	0.6142	1607	7185	0.6806	25000	2.Medium	2.Medium	1.Low	2.Medium	3.High	1.Low	2.Medium	3.High	3.High	2.Medium	2.Medium	2.Medium	3.High	1.Low	2.Medium	2.Medium
Auburn University	Auburn	AL	Graduate	Public	Southeast	No	SmallCity	City	15908	1289	56300	24147	51.15	48.85	59005.4	25.20373683	30.39	31282	10428	0.7812	5812	11058	0.7543	21000	3.High	3.High	3.High	3.High	3.High	1.Low	1.Low	1.Low	1.Low	2.Medium	3.High	3.High	3.High	2.Medium	2.Medium	1.Low
Auburn University at Montgomery	Montgomery	AL	Graduate	Public	Southeast	No	MidCity	City	7582	1084	38000	4529	34.8	65.2	50723.81	48.92262488	55.18	18291	7678	0.338	579	6289	0.9281	25000	1.Low	2.Medium	1.Low	2.Medium	1.Low	3.High	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	2.Medium	1.Low	3.High	2.Medium
Augsburg University	Minneapolis	MN	Graduate	Private.NonProfit	Midwest	Yes	LargeCity	City	16399	1110	53200	2311	46.13	53.87	72224.74	39.03200625	73.56	51251	7732	0.6395	1076	10612	0.6896	26848	3.High	2.Medium	3.High	2.Medium	2.Medium	2.Medium	3.High	3.High	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High
Augustana University	Sioux Falls	SD	Graduate	Private.NonProfit	Midwest	Yes	MidCity	City	13518	1230	49500	1752	37.33	62.67	60196.68	17.37704918	63.2	45145	6895	0.7012	326	12002	0.6542	26163	2.Medium	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	3.High	1.Low	3.High	2.Medium	3.High	2.Medium	3.High
Aultman College of Nursing and Health Sciences	Canton	OH	Bachelors	Private.NonProfit	Midwest	No	SmallCity	City	18259	1085	57900	329	10.33	89.67	56996.46	49.18032787	55.56	24170	6571	1	0	9137	0.7463	19930	3.High	2.Medium	3.High	1.Low	1.Low	3.High	1.Low	3.High	2.Medium	1.Low	1.Low	3.High	1.Low	2.Medium	2.Medium	1.Low
Aurora University	Aurora	IL	Graduate	Private.NonProfit	Midwest	No	Suburb.LgCity	Suburb	12630	1068	46200	3944	35.09	64.91	77796.79	33.90142791	64.79	34650	8071	0.5403	1985	5530	0.8116	22250	2.Medium	1.Low	2.Medium	2.Medium	1.Low	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High	1.Low	3.High	2.Medium
Austin College	Sherman	TX	Graduate	Private.NonProfit	Southwest	Yes	SmallCity	City	12301	1221	52800	1279	48.94	51.06	74623.54	26.65245203	55.12	53392	7426	0.7013	19	11999	0.5532	24268	2.Medium	3.High	2.Medium	1.Low	3.High	1.Low	3.High	1.Low	2.Medium	3.High	2.Medium	3.High	1.Low	3.High	1.Low	2.Medium
Austin Peay State University	Clarksville	TN	Graduate	Public	Southeast	No	MidCity	City	5870	1105	38800	9064	41.63	58.37	52472.51	45.2979608	57.55	21409	8009	0.4061	1083	8170	0.9378	22355	1.Low	2.Medium	1.Low	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	1.Low	2.Medium	2.Medium	3.High	2.Medium
Ave Maria University	Ave Maria	FL	Graduate	Private.NonProfit	Southeast	Yes	Rural.Distant	Rural	7898	1169	33700	1070	47.76	52.24	72612.62	19.48608137	53	34484	7578	0.5551	35	8397	0.8295	20500	1.Low	2.Medium	1.Low	1.Low	3.High	1.Low	3.High	1.Low	1.Low	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	3.High	1.Low
Averett University	Danville	VA	Bachelors	Private.NonProfit	Southeast	Yes	Town.Distant	Town	16063	953	49000	943	57.69	42.31	58009.31	36.9592089	77.14	45091	6082	0.4163	0	10134	0.6061	25337	3.High	1.Low	2.Medium	1.Low	3.High	1.Low	1.Low	2.Medium	3.High	3.High	1.Low	1.Low	1.Low	2.Medium	2.Medium	2.Medium
Avila University	Kansas City	MO	Graduate	Private.NonProfit	Midwest	Yes	LargeCity	City	13285	1080	49700	1191	40.97	59.03	67638.05	37.07250342	81.42	38040	6426	0.5	403	8176	0.5456	26276	2.Medium	1.Low	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	3.High	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High
Azusa Pacific University	Azusa	CA	Graduate	Private.NonProfit	West	Yes	Suburb.LgCity	Suburb	19919	1147	55900	5545	34.59	65.41	73950.46	35.17041334	57.13	51578	9160	0.6263	4438	11405	0.6851	24500	3.High	2.Medium	3.High	3.High	1.Low	3.High	3.High	2.Medium	2.Medium	3.High	3.High	2.Medium	3.High	3.High	2.Medium	2.Medium
Babson College	Wellesley	MA	Graduate	Private.NonProfit	Northeast	No	Suburb.LgCity	Suburb	34365	1367	113300	2361	51.67	48.33	82978.89	17.58893281	30	68482	16278	0.9147	996	15388	0.2441	23250	3.High	3.High	3.High	2.Medium	3.High	1.Low	3.High	1.Low	1.Low	3.High	3.High	3.High	2.Medium	3.High	1.Low	2.Medium
Bacone College	Muskogee	OK	Bachelors	Private.NonProfit	Southwest	Yes	Town.Distant	Town	8680	914	37000	271	58.3	41.7	44521.89	59.31198102	63.88	32800	4192	0.1026	0	3828	0.1524	28931	1.Low	1.Low	1.Low	1.Low	3.High	1.Low	1.Low	3.High	2.Medium	2.Medium	1.Low	1.Low	1.Low	1.Low	1.Low	3.High
Baker University	Baldwin City	KS	Graduate	Private.NonProfit	Midwest	Yes	Town.Fringe	Town	11993	1126	59500	1436	43.11	56.89	67758.92	26.25628141	69.53	44244	6309	0.5891	976	6335	0.8765	25000	2.Medium	2.Medium	3.High	1.Low	2.Medium	2.Medium	2.Medium	1.Low	2.Medium	3.High	1.Low	2.Medium	2.Medium	1.Low	3.High	2.Medium
Baldwin Wallace University	Berea	OH	Graduate	Private.NonProfit	Midwest	No	Suburb.LgCity	Suburb	16362	1175	49200	3058	46.44	53.56	66257.54	28.94906512	94.74	44783	7998	0.6362	605	12276	0.7425	27000	3.High	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High	3.High	2.Medium	2.Medium	2.Medium	3.High	2.Medium	3.High
Baptist Memorial College of Health Sciences	Memphis	TN	Bachelors	Private.NonProfit	Southeast	Yes	LargeCity	City	15362	1105	56000	1032	9.69	90.31	61604.19	55.6122449	78.75	21002	6928	0.4848	8	9133	0.5887	35172	2.Medium	2.Medium	3.High	1.Low	1.Low	3.High	2.Medium	3.High	3.High	1.Low	1.Low	1.Low	1.Low	2.Medium	1.Low	3.High
Barnard College	New York	NY	Bachelors	Private.NonProfit	Northeast	No	LargeCity	City	34147	1422	69700	2557	0	100	75897.42	24.4	31.43	71071	13839	0.9191	0	24519	0.1392	17500	3.High	3.High	3.High	2.Medium	1.Low	3.High	3.High	1.Low	1.Low	3.High	3.High	3.High	1.Low	3.High	1.Low	1.Low
Barry University	Miami	FL	Graduate	Private.NonProfit	Southeast	Yes	Suburb.LgCity	Suburb	16339	1006	50900	3368	38.36	61.64	58621.88	50.24077047	68.87	43524	8151	0.3633	3703	10570	0.9125	28386	3.High	1.Low	2.Medium	2.Medium	1.Low	3.High	1.Low	3.High	2.Medium	2.Medium	2.Medium	1.Low	3.High	2.Medium	3.High	3.High
Barton College	Wilson	NC	Graduate	Private.NonProfit	Southeast	Yes	Town.Fringe	Town	14395	1032	39400	965	37.72	62.28	54814.93	39.00826446	78.79	44193	6151	0.5174	83	9648	0.3962	26313	2.Medium	1.Low	1.Low	1.Low	1.Low	3.High	1.Low	3.High	3.High	3.High	1.Low	2.Medium	1.Low	2.Medium	1.Low	3.High
Baylor University	Waco	TX	Graduate	Private.NonProfit	Southwest	Yes	MidCity	City	23490	1307	58400	14159	40.42	59.58	73627.32	21.03004292	45.66	60619	9968	0.7908	3029	15905	0.3895	24250	3.High	3.High	3.High	3.High	2.Medium	2.Medium	3.High	1.Low	1.Low	3.High	3.High	3.High	3.High	3.High	1.Low	2.Medium
Becker College	Worcester	MA	Graduate	Private.NonProfit	Northeast	No	MidCity	City	16910	1087	49400	1725	42.96	57.04	68777.13	29.73661852	77.04	53368	7972	0.4368	15	6042	0.6634	26000	3.High	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	2.Medium	3.High	3.High	2.Medium	1.Low	1.Low	1.Low	2.Medium	3.High
Bellarmine University	Louisville	KY	Graduate	Private.NonProfit	Southeast	Yes	LargeCity	City	17793	1211	50600	2488	36.01	63.99	65601.28	25.84921292	67.35	54872	8025	0.6733	817	10917	0.8584	25000	3.High	3.High	2.Medium	2.Medium	1.Low	3.High	2.Medium	1.Low	2.Medium	3.High	2.Medium	3.High	2.Medium	2.Medium	3.High	2.Medium
Bellin College	Green Bay	WI	Graduate	Private.NonProfit	Midwest	No	Rural.Fringe	Rural	17776	1170	62100	377	10.61	89.39	63205.5	16.82242991	14.71	28340	7402	0.7391	49	9644	0.8814	15000	3.High	2.Medium	3.High	1.Low	1.Low	3.High	2.Medium	1.Low	1.Low	2.Medium	2.Medium	3.High	1.Low	2.Medium	3.High	1.Low
Belmont Abbey College	Belmont	NC	Bachelors	Private.NonProfit	Southeast	Yes	Suburb.MedCity	Suburb	10595	1081	44400	1505	50.37	49.63	63374.1	27.97992472	60.15	32045	4901	0.4433	0	5255	0.7978	25000	2.Medium	1.Low	1.Low	1.Low	3.High	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	1.Low	1.Low	1.Low	1.Low	3.High	2.Medium
Belmont University	Nashville	TN	Graduate	Private.NonProfit	Southeast	Yes	LargeCity	City	25214	1250	51500	6620	34.89	65.11	70368.62	22.07323363	35.4	50740	10088	0.7255	1594	10273	0.8247	20640	3.High	3.High	2.Medium	3.High	1.Low	3.High	3.High	1.Low	1.Low	3.High	3.High	3.High	3.High	2.Medium	3.High	1.Low
Beloit College	Beloit	WI	Bachelors	Private.NonProfit	Midwest	No	SmallCity	City	17607	1230	47700	1212	45.71	54.29	74481.76	20.71005917	63.78	59283	7043	0.7942	0	13757	0.564	26894	3.High	3.High	2.Medium	1.Low	2.Medium	2.Medium	3.High	1.Low	2.Medium	3.High	2.Medium	3.High	1.Low	3.High	1.Low	3.High
Bemidji State University	Bemidji	MN	Graduate	Public	Midwest	No	Town.Remote	Town	5484	1105	44000	4308	43.45	56.55	55158.96	26.46936223	67.7	20379	8665	0.4599	421	6651	0.6667	19500	1.Low	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	1.Low	1.Low	2.Medium	1.Low	2.Medium	1.Low	2.Medium	1.Low	2.Medium	1.Low
Benedictine College	Atchison	KS	Graduate	Private.NonProfit	Midwest	Yes	Town.Distant	Town	12402	1194	45000	1942	47.79	52.21	64485.18	13.30798479	56.85	43240	7009	0.5975	67	7518	0.9284	26000	2.Medium	3.High	2.Medium	2.Medium	3.High	1.Low	2.Medium	1.Low	2.Medium	2.Medium	2.Medium	2.Medium	1.Low	1.Low	3.High	3.High
Benedictine University	Lisle	IL	Graduate	Private.NonProfit	Midwest	Yes	Suburb.LgCity	Suburb	16199	1110	56400	2692	45.77	54.23	80587.19	32.20133414	68.81	44385	8567	0.4703	2222	7387	0.6283	22500	3.High	2.Medium	3.High	2.Medium	2.Medium	2.Medium	3.High	2.Medium	2.Medium	3.High	2.Medium	1.Low	3.High	1.Low	2.Medium	2.Medium
Bennett College	Greensboro	NC	Bachelors	Private.NonProfit	Southeast	Yes	LargeCity	City	4933	911	32700	469	0	100	60183.85	53.63321799	97.11	32758	4752	0.3209	0	11165	0.9634	34500	1.Low	1.Low	1.Low	1.Low	1.Low	3.High	2.Medium	3.High	3.High	2.Medium	1.Low	1.Low	1.Low	2.Medium	3.High	3.High
Bentley University	Waltham	MA	Graduate	Private.NonProfit	Northeast	No	SmallCity	City	30307	1338	95400	4177	59.88	40.12	82419.5	14.58670989	43.61	66180	14104	0.8882	1207	15504	0.4321	25000	3.High	3.High	3.High	2.Medium	3.High	1.Low	3.High	1.Low	1.Low	3.High	3.High	3.High	2.Medium	3.High	1.Low	2.Medium
Berea College	Berea	KY	Bachelors	Private.NonProfit	Southeast	No	Town.Distant	Town	2571	1192	36300	1630	42.52	57.48	47532.74	59.8816568	9.72	35394	8137	0.6282	0	16327	0.382	5600	1.Low	3.High	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	1.Low	2.Medium	2.Medium	2.Medium	1.Low	3.High	1.Low	1.Low
Berry College	Mount Berry	GA	Graduate	Private.NonProfit	Southeast	No	Rural.Fringe	Rural	14760	1232	43900	1913	39	61	70464.52	18.56763926	53.35	49969	8364	0.6618	78	14517	0.6612	23250	2.Medium	3.High	1.Low	2.Medium	1.Low	3.High	3.High	1.Low	1.Low	3.High	2.Medium	3.High	1.Low	3.High	2.Medium	2.Medium
Bethany College (KS)	Lindsborg	KS	Bachelors	Private.NonProfit	Midwest	Yes	Town.Remote	Town	1771	1035	45100	781	59.41	40.59	57710.76	36.74321503	75.09	42884	4285	0.2901	0	5163	0.6776	25000	1.Low	1.Low	2.Medium	1.Low	3.High	1.Low	1.Low	2.Medium	3.High	2.Medium	1.Low	1.Low	1.Low	1.Low	2.Medium	2.Medium
